type,kud_date,kud_text,kud_amount,toto_date,toto_text,toto_amount,label
onetomany,20.06.2023,Mairie De Saint Malo,-93.15,20.06.2023,Saint Malo,93.15,1
onetomany,21.06.2023,Mairie De Saint Malo,-93.15,21.06.2023,Saint Malo,93.15,1
onetomany,21.06.2023,Mairie De Saint Malo,-93.15,20.06.2023,Saint Malo,93.15,0
onetomany,22.06.2023,Mairie De Saint Malo,-29.8,26.06.2023,Verdun,29.8,0
onetomany,22.06.2023,Mairie De Saint Malo,-29.8,22.06.2023,Saint Malo,29.8,1
onetomany,26.06.2023,Le Verdun,-29.8,26.06.2023,Verdun,29.8,1
onetomany,26.06.2023,Le Verdun,-29.8,22.06.2023,Saint Malo,29.8,0
onetomany,16.01.2019,10490,-245.0,29.01.2020,Bridge esk,245.0,0
onetomany,16.01.2019,10490,-245.0,29.01.2020,Bridge fyn,245.0,0
onetomany,23.01.2019,MobilePay Caroline Boje,-105.0,22.01.2019,Supermarket: Føtex,105.0,0
onetomany,23.01.2019,MobilePay Caroline Boje,-105.0,09.01.2019,Supermarket: Føtex,105.0,0
onetomany,24.01.2019,Parkeringsautomate 42698,-100.0,14.01.2022,Gift Sune ,100.0,0
onetomany,24.01.2019,Parkeringsautomate 42698,-100.0,25.01.2021,Regalo Tiago,100.0,0
onetomany,24.01.2019,Parkeringsautomate 42698,-100.0,25.01.2021,Regalo Anders,100.0,0
onetomany,24.01.2019,Parkeringsautomate 42698,-100.0,24.01.2019,Parking Ørsted kick off,100.0,1
onetomany,30.01.2019,ATM Cash Withdrawal VISA Abroad,-30.0,13.01.2020,San Francisco,30.0,0
onetomany,30.01.2019,ATM Cash Withdrawal VISA Abroad,-30.0,30.01.2019,Commissione prelievo estero,30.0,1
onetomany,04.02.2019,Zara Home DK KOBMA 86545,-118.0,24.02.2022,Joe & the Juice,118.0,0
onetomany,04.02.2019,Zara Home DK KOBMA 86545,-118.0,03.02.2019,Zara Agomas Caro,118.0,1
onetomany,05.02.2019,VDK DKK 700 00,-700.0,01.02.2019,Pendlekort,700.0,0
onetomany,05.02.2019,VDK DKK 700 00,-700.0,07.02.2018,Abbonamento treno,700.0,1
onetomany,11.02.2019,MobilePay Caroline Boje,-100.0,25.02.2021,Regalo Luca Casarini,100.0,0
onetomany,11.02.2019,MobilePay Caroline Boje,-100.0,18.02.2019,Cleaning lady,100.0,0
onetomany,11.02.2019,MobilePay Caroline Boje,-100.0,11.02.2019,Cleaning lady,100.0,1
onetomany,11.02.2019,MobilePay Caroline Boje,-100.0,04.02.2019,Cleanin lady,100.0,0
onetomany,26.02.2019,MobilePay Maria Barlev,-50.0,22.02.2023,Maternity present Rune,50.0,0
onetomany,26.02.2019,MobilePay Maria Barlev,-50.0,26.02.2019,Umid gift,50.0,1
onetomany,05.03.2019,VDK DKK 188 00,-188.0,20.03.2019,Green mob,188.0,0
onetomany,05.03.2019,VDK DKK 188 00,-188.0,03.03.2019,Cheesecake Berthel,188.0,0
onetomany,05.03.2019,VDK DKK 700 00,-700.0,05.03.2019,Pendlekort,700.0,1
onetomany,05.03.2019,VDK DKK 700 00,-700.0,09.03.2018,Abbonamento treno,700.0,0
onetomany,17.03.2019,MobilePay Caroline Boje,-100.0,09.03.2020,Photos consulat,100.0,0
onetomany,17.03.2019,MobilePay Caroline Boje,-100.0,31.03.2019,Cleaning lady,100.0,0
onetomany,17.03.2019,MobilePay Caroline Boje,-100.0,22.03.2019,Cleaning lady,100.0,0
onetomany,17.03.2019,MobilePay Caroline Boje,-100.0,17.03.2019,Cleaning lady,100.0,1
onetomany,17.03.2019,MobilePay Caroline Boje,-100.0,01.03.2018,Netto,100.0,0
onetomany,20.03.2019,VDK DKK 188 00,-188.0,20.03.2019,Green mob,188.0,0
onetomany,20.03.2019,VDK DKK 188 00,-188.0,03.03.2019,Cheesecake Berthel,188.0,0
onetomany,27.03.2019,09734,-248.0,20.03.2023,Dog stuff,248.0,0
onetomany,27.03.2019,09734,-248.0,27.03.2019,Taxi airport Milan,248.0,1
onetomany,18.10.2021,MobilePay Farewell gift to Emilie,-150.0,18.10.2021,Gift Emilie,150.0,1
onetomany,18.10.2021,MobilePay Farewell gift to Emilie,-150.0,04.10.2018,Føtex,150.0,0
onetomany,29.10.2021,campadventure dk 54064,-350.0,30.10.2021,Camp adv,350.0,1
onetomany,29.10.2021,campadventure dk 54064,-350.0,02.10.2018,Gym,350.0,0
onetomany,23.11.2021,McDonalds Solroed rest,-256.0,13.11.2022,Mc Donald ,256.0,0
onetomany,23.11.2021,McDonalds Solroed rest,-256.0,21.11.2021,Mc donald,256.0,1
onetomany,30.11.2021,KIM Q HAIR DESIGN KOEBENHAVN V,-349.0,02.11.2022,Haircut,349.0,0
onetomany,30.11.2021,KIM Q HAIR DESIGN KOEBENHAVN V,-349.0,02.11.2022,Haircut,349.0,0
onetomany,30.11.2021,KIM Q HAIR DESIGN KOEBENHAVN V,-349.0,27.11.2021,Haircut ,349.0,1
onetomany,02.01.2023,Krogsgaard Finans,-2474.0,01.01.2023,Car Loan,2474.0,1
onetomany,02.01.2023,Krogsgaard Finans,-2474.0,04.01.2021,Finanz auto,2474.0,0
onetomany,06.02.2023,B Skat 20 02 2023,-1697.0,04.02.2023,B-Skat 01.2023,1697.0,1
onetomany,06.02.2023,B Skat 20 02 2023,-1697.0,04.02.2023,B-Skat 02.2023,1697.0,0
onetomany,06.02.2023,B Skat 20 01 2023,-1697.0,04.02.2023,B-Skat 01.2023,1697.0,0
onetomany,06.02.2023,B Skat 20 01 2023,-1697.0,04.02.2023,B-Skat 02.2023,1697.0,0
onetomany,22.02.2023,MobilePay Maternity present for RUN,-50.0,22.02.2023,Maternity present Rune,50.0,1
onetomany,22.02.2023,MobilePay Maternity present for RUN,-50.0,26.02.2019,Umid gift,50.0,0
onetomany,01.03.2023,Krogsgaard Finans,-2474.0,01.03.2023,Car loan,2474.0,1
onetomany,01.03.2023,Krogsgaard Finans,-2474.0,01.03.2021,Finanziamento auto,2474.0,0
onetomany,30.03.2023,APPLE COM BILL 80249625,-45.0,30.03.2023,Apple app,45.0,1
onetomany,30.03.2023,APPLE COM BILL 80249625,-45.0,01.03.2023,Apple gym app,45.0,0
onetomany,04.09.2020,GREENMOBILITY A S KBENHAVN K,-20.0,30.09.2023,Bank expenses,20.0,0
onetomany,04.09.2020,GREENMOBILITY A S KBENHAVN K,-20.0,02.09.2020,Green mobility ,20.0,1
onetomany,23.09.2020,Richards 59868,-40.0,11.09.2023,Supermarket ,40.0,0
onetomany,23.09.2020,Richards 59868,-40.0,16.09.2018,Dvd,40.0,0
onetomany,01.08.2022,Krogsgaard Finans,-2474.0,01.08.2023,Car loan,2474.0,0
onetomany,01.08.2022,Krogsgaard Finans,-2474.0,01.08.2021,Car loan,2474.0,0
onetomany,01.09.2022,Krogsgaard Finans,-2474.0,01.09.2023,Car loan,2474.0,0
onetomany,01.09.2022,Krogsgaard Finans,-2474.0,01.09.2021,Car loan,2474.0,0
onetomany,22.09.2022,SuperB Solrød 31927,-16.0,23.09.2023,Adobe,16.0,0
onetomany,22.09.2022,SuperB Solrød 31927,-16.0,02.09.2020,Green mobility ,16.0,0
onetomany,02.07.2018,JYSK Fisketorvet 43941,-350.0,23.07.2018,Fotex,350.0,0
onetomany,02.07.2018,JYSK Fisketorvet 43941,-350.0,10.07.2018,Fotex,350.0,0
onetomany,02.07.2018,JYSK Fisketorvet 43941,-350.0,06.07.2018,Caroline night out,350.0,0
onetomany,02.07.2018,JYSK Fisketorvet 43941,-350.0,01.07.2018,Jysk blanket,350.0,1
onetomany,06.07.2018,MobilePay Caroline Boje,-350.0,23.07.2018,Fotex,350.0,0
onetomany,06.07.2018,MobilePay Caroline Boje,-350.0,10.07.2018,Fotex,350.0,0
onetomany,06.07.2018,MobilePay Caroline Boje,-350.0,06.07.2018,Caroline night out,350.0,1
onetomany,06.07.2018,MobilePay Caroline Boje,-350.0,01.07.2018,Jysk blanket,350.0,0
onetomany,11.07.2018,WARPIGS BREWPUB 19917,-160.0,11.07.2018,Warpigs,160.0,1
onetomany,11.07.2018,WARPIGS BREWPUB 19917,-160.0,11.07.2018,Warpigs,160.0,1
onetomany,16.07.2018,CINEMAXX FISKETORV 33091,-224.0,01.07.2021,Cake,224.0,0
onetomany,16.07.2018,CINEMAXX FISKETORV 33091,-224.0,14.07.2018,Cinema (Antman),224.0,1
onetomany,23.07.2018,ACCORD A S 63692,-30.0,30.07.2019,ATM Cash Withdrawal VISA - ...,30.0,0
onetomany,23.07.2018,ACCORD A S 63692,-30.0,28.07.2019,Dinner,30.0,0
onetomany,23.07.2018,ACCORD A S 63692,-30.0,22.07.2018,Movies,30.0,1
onetomany,23.07.2018,MobilePay Caroline Boje,-350.0,23.07.2018,Fotex,350.0,0
onetomany,23.07.2018,MobilePay Caroline Boje,-350.0,10.07.2018,Fotex,350.0,0
onetomany,23.07.2018,MobilePay Caroline Boje,-350.0,06.07.2018,Caroline night out,350.0,0
onetomany,23.07.2018,MobilePay Caroline Boje,-350.0,01.07.2018,Jysk blanket,350.0,0
onetomany,01.08.2018,MobilePay Caroline Boje,-350.0,01.08.2018,Fitness DK,350.0,0
onetomany,01.08.2018,MobilePay Caroline Boje,-350.0,01.08.2018,Føtex,350.0,0
onetomany,06.08.2018,MobilePay Caroline Boje,-300.0,19.08.2021,Qualcosa,300.0,0
onetomany,06.08.2018,MobilePay Caroline Boje,-300.0,06.08.2018,Føtex,300.0,0
onetomany,27.08.2018,Kim Q Hair design 04108,-325.0,18.08.2021,Barrier dog,325.0,0
onetomany,27.08.2018,Kim Q Hair design 04108,-325.0,26.08.2019,Hair cut,325.0,0
onetomany,27.08.2018,Kim Q Hair design 04108,-325.0,25.08.2018,Frisør,325.0,1
onetomany,03.09.2018,MobilePay Caroline Boje,-250.0,28.09.2019,MobilePay Sune Enevoldsen,250.0,0
onetomany,03.09.2018,MobilePay Caroline Boje,-250.0,03.09.2018,Føtex,250.0,0
onetomany,05.09.2018,MobilePay Caroline Boje,-200.0,25.09.2018,Føtex,200.0,0
onetomany,05.09.2018,MobilePay Caroline Boje,-200.0,05.09.2018,Føtex,200.0,0
onetomany,17.09.2018,Fitness dk nr 37 93020,-279.0,03.09.2023,Mc Donald ,279.0,0
onetomany,17.09.2018,Fitness dk nr 37 93020,-279.0,30.09.2019,Fisketorvet )))) 42079,279.0,0
onetomany,17.09.2018,Fitness dk nr 37 93020,-279.0,28.09.2018,Protein,279.0,0
onetomany,17.09.2018,Fitness dk nr 37 93020,-279.0,03.09.2018,Protein powder,279.0,0
onetomany,25.09.2018,MobilePay Caroline Boje,-200.0,25.09.2018,Føtex,200.0,0
onetomany,25.09.2018,MobilePay Caroline Boje,-200.0,05.09.2018,Føtex,200.0,0
onetomany,27.09.2018,MobilePay Caroline Boje,-350.0,27.09.2018,Føtex,350.0,0
onetomany,27.09.2018,MobilePay Caroline Boje,-350.0,02.09.2018,Fitness dk,350.0,0
onetomany,02.01.2020,36763,-228.0,02.01.2020,Taxi,228.0,1
onetomany,02.01.2020,36763,-228.0,31.01.2019,Taxi KL,228.0,0
onetomany,10.01.2020,WHS T3 Airside 85 89595,-299.4,09.01.2020,Travel stuff,299.4,1
onetomany,10.01.2020,WHS T3 Airside 85 89595,-299.4,06.01.2020,Silvan,299.4,0
onetomany,18.01.2020,MobilePay Caroline Boje,-180.0,25.01.2020,Cleaning lady ,180.0,0
onetomany,18.01.2020,MobilePay Caroline Boje,-180.0,18.01.2020,Cleaning lady ,180.0,1
onetomany,29.01.2020,Storebæltsforbinde 14276,-245.0,29.01.2020,Bridge esk,245.0,1
onetomany,29.01.2020,Storebæltsforbinde 14276,-245.0,29.01.2020,Bridge fyn,245.0,1
onetomany,18.02.2020,MobilePay Pernille K Weeke,-75.0,18.02.2020,Cadeau collega,75.0,1
onetomany,18.02.2020,MobilePay Pernille K Weeke,-75.0,23.02.2018,Dog food,75.0,0
onetomany,28.02.2020,MobilePay Caroline Boje,-175.0,28.02.2020,Protein powder ,175.0,0
onetomany,28.02.2020,MobilePay Caroline Boje,-175.0,12.02.2020,Protein powder ,175.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,17.04.2023,Present for Heidi,50.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,16.04.2023,Cancer research,50.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,08.04.2022,Parcheggio ,50.0,1
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,06.04.2022,Prking suitsupply,50.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,30.04.2019,Visa russia photo,50.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,30.04.2019,Visa photo russia,50.0,0
onetomany,06.04.2022,P huset Gl Mønt 33547,-50.0,03.04.2018,Mobile pay,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,17.04.2023,Present for Heidi,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,16.04.2023,Cancer research,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,08.04.2022,Parcheggio ,50.0,1
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,06.04.2022,Prking suitsupply,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,30.04.2019,Visa russia photo,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,30.04.2019,Visa photo russia,50.0,0
onetomany,08.04.2022,P huset Gl Mønt 33681,-50.0,03.04.2018,Mobile pay,50.0,0
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,11.04.2022,Gift Uffe,100.0,0
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,11.04.2022,Parcheggio,100.0,1
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,29.04.2019,Cleaning lady ,100.0,0
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,23.04.2019,Cleaning lady,100.0,0
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,14.04.2019,Cleaning lady ,100.0,0
onetomany,11.04.2022,P huset Gl Mønt 33912,-100.0,11.04.2019,Cleaning lady,100.0,0
onetomany,02.05.2022,Krogsgaard Finans,-2474.0,01.05.2023,Mazda loan,2474.0,0
onetomany,02.05.2022,Krogsgaard Finans,-2474.0,03.05.2021,Car loan,2474.0,0
onetomany,30.05.2022,Fisketorvet 73840,-45.0,31.05.2023,App,45.0,0
onetomany,30.05.2022,Fisketorvet 73840,-45.0,02.05.2023,App gym,45.0,0
onetomany,30.05.2022,Fisketorvet 73840,-45.0,26.05.2022,Cinema park,45.0,1
onetomany,30.05.2022,Fisketorvet 73840,-45.0,07.05.2022,Park,45.0,0
onetomany,27.06.2022,Farewell gift for William,-100.0,20.06.2021,Parking airport Sandro,100.0,0
onetomany,27.06.2022,Farewell gift for William,-100.0,21.06.2018,Regalo lars bo,100.0,0
onetomany,01.11.2022,MobilePay Collection for Nanna,-50.0,03.11.2022,Present Thomas,50.0,0
onetomany,01.11.2022,MobilePay Collection for Nanna,-50.0,01.11.2022,Present Nanna,50.0,1
onetomany,02.12.2022,Udl kortbetaling 1 50 af DKK,-1.36,02.12.2022,Currency,1.36,1
onetomany,02.12.2022,Udl kortbetaling 1 50 af DKK,-1.36,02.12.2022,Currency,1.36,1
onetomany,02.12.2022,Udl kortbetaling 1 50 af DKK,-1.36,02.12.2022,Currency,1.36,1
onetomany,02.12.2022,Udl kortbetaling 1 50 af DKK,-1.36,02.12.2022,Currency,1.36,1
onetomany,09.12.2022,ZooBiiDoo 79426,-219.0,08.12.2022,Pappa Loki,219.0,1
onetomany,09.12.2022,ZooBiiDoo 79426,-219.0,27.12.2018,Taxi airport to Milan,219.0,0
onetomany,11.04.2018,VDK DKK 700 00,-700.0,03.04.2019,Train,700.0,0
onetomany,11.04.2018,VDK DKK 700 00,-700.0,11.04.2018,Pendlekort,700.0,1
onetomany,17.04.2018,VDK DKK 700 00,-700.0,03.04.2019,Train,700.0,0
onetomany,17.04.2018,VDK DKK 700 00,-700.0,11.04.2018,Pendlekort,700.0,0
onetomany,19.04.2018,MobilePay Caroline Boje,-270.0,28.04.2019,Tivoli,270.0,0
onetomany,19.04.2018,MobilePay Caroline Boje,-270.0,19.04.2018,Fotex,270.0,0
onetomany,03.05.2018,MobilePay Caroline Boje,-1500.0,28.05.2018,Police fine january,1500.0,0
onetomany,03.05.2018,MobilePay Caroline Boje,-1500.0,03.05.2018,Caroline’s bike,1500.0,1
onetomany,09.05.2018,MobilePay Caroline Boje,-200.0,14.05.2019,Top up rejsekort sandro,200.0,0
onetomany,09.05.2018,MobilePay Caroline Boje,-200.0,09.05.2018,Mc donald,200.0,0
onetomany,17.05.2018,MobilePay Caroline Boje,-270.0,21.05.2023,Mc Donald ,270.0,0
onetomany,17.05.2018,MobilePay Caroline Boje,-270.0,17.05.2018,Fotex,270.0,0
onetomany,17.05.2018,MobilePay Caroline Boje,-270.0,04.05.2018,Tivoli airplanes,270.0,0
onetomany,22.05.2018,VDK DKK 24 00,-24.0,14.05.2019,Metro sandro,24.0,0
onetomany,22.05.2018,VDK DKK 24 00,-24.0,25.05.2018,Airport train,24.0,0
onetomany,22.05.2018,VDK DKK 24 00,-24.0,23.05.2018,Biglietto aerop,24.0,1
onetomany,22.05.2018,VDK DKK 24 00,-24.0,17.05.2018,Train to airport,24.0,0
onetomany,23.05.2018,MobilePay Caroline Boje,-100.0,24.05.2018,Fotex,100.0,0
onetomany,23.05.2018,MobilePay Caroline Boje,-100.0,23.05.2018,Boh to caroline,100.0,1
onetomany,24.05.2018,MobilePay Caroline Boje,-100.0,24.05.2018,Fotex,100.0,0
onetomany,24.05.2018,MobilePay Caroline Boje,-100.0,23.05.2018,Boh to caroline,100.0,1
onetomany,25.05.2018,VDK DKK 24 00,-24.0,14.05.2019,Metro sandro,24.0,0
onetomany,25.05.2018,VDK DKK 24 00,-24.0,25.05.2018,Airport train,24.0,1
onetomany,25.05.2018,VDK DKK 24 00,-24.0,23.05.2018,Biglietto aerop,24.0,0
onetomany,25.05.2018,VDK DKK 24 00,-24.0,17.05.2018,Train to airport,24.0,0
onetomany,28.05.2018,MCDONALDS FISKETOR 41669,-38.0,12.05.2023,Supermarket ,38.0,0
onetomany,28.05.2018,MCDONALDS FISKETOR 41669,-38.0,26.05.2018,Mc nuggets,38.0,1
onetomany,28.05.2018,Betaling af Bøde,-1500.0,28.05.2018,Police fine january,1500.0,1
onetomany,28.05.2018,Betaling af Bøde,-1500.0,03.05.2018,Caroline’s bike,1500.0,0
onetomany,29.05.2018,MobilePay Mikael Zebbelin Poulsen,100.0,24.05.2018,Fotex,100.0,0
onetomany,29.05.2018,MobilePay Mikael Zebbelin Poulsen,100.0,23.05.2018,Boh to caroline,100.0,0
onetomany,04.06.2018,CINEMAXX FISKETORV 29247,-244.0,09.06.2018,Cinema,244.0,0
onetomany,04.06.2018,CINEMAXX FISKETORV 29247,-244.0,02.06.2018,Cinema (Solo),244.0,1
onetomany,04.06.2018,MobilePay Caroline Boje,-700.0,03.06.2019,Pendlekort ,700.0,0
onetomany,04.06.2018,MobilePay Caroline Boje,-700.0,02.06.2019,Julia wedding gift ,700.0,0
onetomany,04.06.2018,MobilePay Caroline Boje,-700.0,15.06.2018,Train pendlekort,700.0,0
onetomany,04.06.2018,MobilePay Caroline Boje,-700.0,04.06.2018,Ago vet,700.0,0
onetomany,08.06.2018,MobilePay Caroline Boje,-200.0,18.06.2021,Drinks,200.0,0
onetomany,08.06.2018,MobilePay Caroline Boje,-200.0,21.06.2018,Fotex,200.0,0
onetomany,08.06.2018,MobilePay Caroline Boje,-200.0,15.06.2018,Mc Donald,200.0,0
onetomany,08.06.2018,MobilePay Caroline Boje,-200.0,08.06.2018,Mc Donald,200.0,1
onetomany,11.06.2018,CINEMAXX FISKETORV 20515,-244.0,09.06.2018,Cinema,244.0,1
onetomany,11.06.2018,CINEMAXX FISKETORV 20515,-244.0,02.06.2018,Cinema (Solo),244.0,0
onetomany,15.06.2018,MobilePay Caroline Boje,-200.0,18.06.2021,Drinks,200.0,0
onetomany,15.06.2018,MobilePay Caroline Boje,-200.0,21.06.2018,Fotex,200.0,0
